"plotID","date","plotsize","spcode","species","cover","elev","tci","streamdist"
"UFRL-01-0017","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",3,722.2,4.19182587,317.8
"UFRL-01-0019","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",2,625.5,4.68501806,63.25
"UFRL-01-0020","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",5,613.4,4.98365498,36.06
"UFRL-01-0021","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",8,510.3,8.76585293,312.6
"UFRL-01-0022","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",7,457.3,9.2308197,28.28
"UFRL-01-0028","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",4,817.5,8.70455647,465.3
"UFRL-01-0029","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",1,840.3,7.90501118,408
"UFRL-01-0030","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",7,544.6,8.5399971,160
"UFRL-01-0031","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",2,568.9,10.67,250.8
"UFRL-01-0032","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",4,678.1,5.25798607,214
"UFRL-01-0033","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",4,581.1,4.57624388,64.03
"UFRL-01-0034","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",7,582.7,6.23814106,176.9
"UFRL-01-0044","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",3,610.7,4.52831793,277.3
"UFRL-01-0045","00-00-1977",1000,"TSUGCAN","Tsuga canadensis",1,637.3,4.85419703,300.8
"UFRL-01-0046","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",4,614.4,5.13394117,186
"UFRL-01-0047","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",2,584.3,6.47289991,85.44
"UFRL-01-0047","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",2,607,4.79977417,114
"UFRL-01-0047","07-17-2000",1000,"TSUGCAN","Tsuga canadensis",4,584.3,6.47289991,85.44
"UFRL-01-0047","07-17-2000",1000,"TSUGCAN","Tsuga canadensis",4,607,4.79977417,114
"UFRL-01-0048","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",3,574.8,4.37171078,0
"UFRL-01-0048","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",3,608.7,3.64123893,36.06
"UFRL-01-0048","07-18-2000",1000,"TSUGCAN","Tsuga canadensis",7,574.8,4.37171078,0
"UFRL-01-0048","07-18-2000",1000,"TSUGCAN","Tsuga canadensis",7,608.7,3.64123893,36.06
"UFRL-01-0049","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",7,607.8,5.16231585,28.28
"UFRL-01-0050","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",6,592.6,5.35637188,31.62
"UFRL-01-0051","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",7,565.1,5.09103489,50
"UFRL-01-0052","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",7,481.8,4.45236206,14.14
"UFRL-01-0053","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",7,603,6.0051198,36.06
"UFRL-01-0054","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",7,614.6,5.21767616,382.1
"UFRL-01-0055","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",6,669.3,9.71498203,378.5
"UFRL-01-0056","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",4,691.1,5.42046499,317.6
"UFRL-01-0057","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",5,611.7,10.24,197.2
"UFRL-01-0058","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",4,690.8,4.80152607,230
"UFRL-01-0059","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",7,650.8,3.88353205,386.4
"UFRL-01-0061","00-00-1978",1000,"TSUGCAN","Tsuga canadensis",5,673.2,5.40900183,520.1
